ma_code,ma_name,ma_level,ma_parent,ma_postal_code
1373022010,Balai Batu Sadara,4,137302,27422
137303,Silungkang,3,1373,
1373032001,Silungkang Duo,4,137303,27432
1373032002,Silungkang Oso,4,137303,27433
1373032003,Silungkang Tigo,4,137303,27431
1373032004,Muaro Kalaban,4,137303,27435
1373032005,Taratak Boncah,4,137303,27434
137304,Talawi,3,1373,
1373042001,Talawi Hilie,4,137304,27445
1373042002,Talawi Mudiak,4,137304,27444
1373042003,Bukit Gadang,4,137304,27444
1373042004,Batu Tanjung,4,137304,27443
1373042005,Kumbayau,4,137304,27443
1373042006,Tumpuk Tangah,4,137304,27442
1373042007,Data Mansiang,4,137304,27441
1373042008,Sijantang Koto,4,137304,27446
1373042009,Salak,4,137304,27447
1373042010,Sikalang,4,137304,27448
1373042011,Rantih,4,137304,27449
1374,Kota Padang Panjang,2,13,
137401,Padang Panjang Timur,3,1374,
1374011001,Ganting,4,137401,27127
1374011002,Sigando,4,137401,27126
1374011003,Ekor Lubuk,4,137401,27125
1374011004,Ngalau,4,137401,27124
1374011005,Guguk Malintang,4,137401,27128
1374011006,Koto Panjang,4,137401,27122
1374011007,Koto Katik,4,137401,27123
1374011008,Tanah Pak Lambik,4,137401,27121
137402,Padang Panjang Barat,3,1374,
1374021001,Bukit Surungan,4,137402,27115
1374021002,Pasar Usang,4,137402,27116
1374021003,Kampung Manggis,4,137402,27111
1374021004,Silaing Bawah,4,137402,27118
1374021005,Silaing Atas,4,137402,27117
1374021006,Pasar Baru,4,137402,27113
1374021007,Tanah Hitam,4,137402,27112
1374021008,Balai-Balai,4,137402,27114
1375,Kota Bukittinggi,2,13,
137501,Guguak Panjang,3,1375,
1375011001,Tarok Dipo,4,137501,26117
1375011002,Bukik Cangang/Kayu Rmg.,4,137501,26116
1375011003,Pakan Kurai,4,137501,26112
1375011004,Aur Tajungkang/Tgh. Sawah,4,137501,26111
1375011005,Benteng Pasar Atas,4,137501,26113
1375011006,Kayu Kubu,4,137501,26115
1375011007,Bukik Apik Puhun,4,137501,26114
137502,Mandiangin K. Selayan,3,1375,
1375021001,Campago Guguk Bulek,4,137502,26128
1375021002,Campago Ipuh,4,137502,26121
1375021003,Puhun Tembok,4,137502,26124
1375021004,Kubu Gulai Bancah,4,137502,26122
1375021005,Puhun Pintu Kabun,4,137502,26123
1375021006,Pulai Anak Air,4,137502,26125
1375021007,Koto Selayan,4,137502,26126
1375021008,Garegeh,4,137502,26127
1375021009,Manggis/Ganting,4,137502,26129
137503,Aur Birugo Tigo Baleh,3,1375,
1375031001,Aur Kuning,4,137503,26131
1375031002,Birugo,4,137503,26138
1375031003,Belakang Balok,4,137503,26136
1375031004,Sapiran,4,137503,26137
1375031005,Kubu Tanjung,4,137503,26133
1375031006,Pakan Labuh,4,137503,26134
1375031007,Parit Rantang,4,137503,26132
1375031008,Ladang Cakiah,4,137503,26135
1376,Kota Payakumbuh,2,13,
137601,Payakumbuh Barat,3,1376,
1376011002,Pakan Sinayan,4,137601,26226
1376011003,Kubu Gadang,4,137601,26226
1376011004,Bulakan Balai Kandi,4,137601,26225
1376011005,Payolansek,4,137601,26225
1376011007,Talang,4,137601,26225
1376011009,Padang Tinggi Piliang,4,137601,26224
1376011011,Koto Tangah,4,137601,26223
